epoch,training_loss,validation_loss,fold
0.03455425017277125,0.11297031402587891,,0
0.0691085003455425,0.07789273262023926,,0
0.10366275051831375,0.06997620105743409,,0
0.138217000691085,0.03403143882751465,,0
0.17277125086385625,0.04314950466156006,,0
0.2073255010366275,0.0723509693145752,,0
0.24187975120939875,0.04028745651245117,,0
0.27643400138217,0.06232732772827149,,0
0.31098825155494125,0.05980953216552734,,0
0.3455425017277125,0.06236084461212158,,0
0.38009675190048375,0.053248748779296876,,0
0.414651002073255,0.04853939533233643,,0
0.44920525224602625,0.021387858390808104,,0
0.4837595024187975,0.05881691932678223,,0
0.5183137525915688,0.05259243488311768,,0
0.55286800276434,0.03178162097930908,,0
0.5874222529371113,0.05865545272827148,,0
0.6219765031098825,0.0999843978881836,,0
0.6565307532826538,0.03664158582687378,,0
0.691085003455425,0.03751267910003662,,0
0.7256392536281963,0.04922172546386719,,0
0.7601935038009675,0.037104411125183104,,0
0.7947477539737388,0.034107162952423095,,0
0.82930200414651,0.01962813138961792,,0
0.8638562543192813,0.05774855613708496,,0
0.8984105044920525,0.03998707771301269,,0
0.9329647546648238,0.01448772668838501,,0
0.967519004837595,0.05919453144073486,,0
1.0,,0.04143286123871803,0
1.0020732550103664,0.05628864288330078,,0
1.0366275051831375,0.03187894105911255,,0
1.0711817553559089,0.009988104701042175,,0
1.10573600552868,0.04263919353485107,,0
1.1402902557014514,0.02964857816696167,,0
1.1748445058742225,0.02765587091445923,,0
1.2093987560469939,0.028313019275665284,,0
1.243953006219765,0.040133490562438964,,0
1.2785072563925364,0.013430166244506835,,0
1.3130615065653075,0.04647674560546875,,0
1.3476157567380787,0.021386735439300537,,0
1.38217000691085,0.02358323335647583,,0
1.4167242570836214,0.01785630941390991,,0
1.4512785072563925,0.046150493621826175,,0
1.4858327574291637,0.02912162780761719,,0
1.520387007601935,0.04888004302978516,,0
1.5549412577747064,0.023218376636505125,,0
1.5894955079474775,0.012283636331558228,,0
1.6240497581202487,0.023530974388122558,,0
1.65860400829302,0.04454463481903076,,0
1.6931582584657914,0.018326380252838136,,0
1.7277125086385625,0.02999690055847168,,0
1.7622667588113337,0.02470348119735718,,0
1.796821008984105,0.01693926692008972,,0
1.8313752591568764,0.013291897773742676,,0
1.8659295093296475,0.03840791702270508,,0
1.9004837595024187,0.014378005266189575,,0
1.93503800967519,0.02863469362258911,,0
1.9695922598479614,0.03327201128005981,,0
2.0,,0.03357747569680214,0
2.0041465100207327,0.02763575553894043,,0
2.0387007601935037,0.022176668643951417,,0
2.073255010366275,0.021185567378997804,,0
2.1078092605390464,0.011535108089447021,,0
2.1423635107118177,0.005157449841499328,,0
2.1769177608845887,0.006097163558006286,,0
2.21147201105736,0.009394382834434509,,0
2.2460262612301314,0.010990341901779175,,0
2.2805805114029027,0.014483944177627564,,0
2.3151347615756737,0.0005416006222367287,,0
2.349689011748445,0.03645407438278198,,0
2.3842432619212164,0.00991552472114563,,0
2.4187975120939877,0.0016301164031028747,,0
2.4533517622667587,0.013081516027450562,,0
2.48790601243953,0.008384012579917909,,0
2.5224602626123014,0.0008670698851346969,,0
2.5570145127850727,0.015103951692581177,,0
2.5915687629578437,0.010504348278045654,,0
2.626123013130615,0.0002749568223953247,,0
2.6606772633033864,0.0068183475732803344,,0
2.6952315134761573,0.011317393779754638,,0
2.7297857636489287,0.026370799541473387,,0
2.7643400138217,0.022339296340942384,,0
2.7988942639944714,0.004875086843967437,,0
2.8334485141672427,0.004034526348114013,,0
2.8680027643400137,0.011137232780456544,,0
2.902557014512785,0.00780778169631958,,0
2.9371112646855564,0.010381642580032348,,0
2.9716655148583273,0.04367051124572754,,0
3.0,,0.04279596731066704,0
